city,state_name,county_name
Topeka,Kansas,Shawnee
Escondido,California,San Diego
Joliet,Illinois,Will
Surprise,Arizona,Maricopa
Naperville,Illinois,DuPage
Pasadena,Texas,Harris
Mesquite,Texas,Dallas
Champaign,Illinois,Champaign
Pomona,California,Los Angeles
Houma,Louisiana,Terrebonne
Athens,Georgia,Clarke
St. George,Utah,Washington
Beaumont,Texas,Jefferson
Elkhart,Indiana,Elkhart
Lake Charles,Louisiana,Calcasieu
Santa Maria,California,Santa Barbara
Yuma,Arizona,Yuma
Olathe,Kansas,Johnson
Midland,Texas,Midland
Greeley,Colorado,Weld
Torrance,California,Los Angeles
Thornton,Colorado,Adams
Las Cruces,New Mexico,Doña Ana
Columbia,Missouri,Boone
Fullerton,California,Orange
Grand Junction,Colorado,Mesa
Carolina,Puerto Rico,Carolina
Metairie,Louisiana,Jefferson
Orange,California,Orange
Warren,Michigan,Macomb
West Valley City,Utah,Salt Lake
Hampton,Virginia,Hampton
Pasadena,California,Los Angeles
Miramar,Florida,Broward
Elizabeth,New Jersey,Union
Stamford,Connecticut,Western Connecticut
Racine,Wisconsin,Racine
Kent,Washington,King
Yakima,Washington,Yakima
Coral Springs,Florida,Broward
Sterling Heights,Michigan,Macomb
Billings,Montana,Yellowstone
Bloomington,Illinois,McLean
Charleston,West Virginia,Kanawha
Carrollton,Texas,Dallas
Tyler,Texas,Smith
Iowa City,Iowa,Johnson
Johnson City,Tennessee,Washington
Santa Clara,California,Santa Clara
Bellingham,Washington,Whatcom
Norman,Oklahoma,Cleveland
Coeur d'Alene,Idaho,Kootenai
Fort Smith,Arkansas,Sebastian
Lewisville,Texas,Denton
Dover,Delaware,Kent
Yuba City,California,Sutter
Lehigh Acres,Florida,Lee
Abilene,Texas,Taylor
Simi Valley,California,Ventura
Pearland,Texas,Brazoria
Kenosha,Wisconsin,Kenosha
Arecibo,Puerto Rico,Arecibo
Meridian,Idaho,Ada
Round Rock,Texas,Williamson
Waldorf,Maryland,Charles
Temple,Texas,Bell
Lynchburg,Virginia,Lynchburg
Rochester,Minnesota,Olmsted
Logan,Utah,Cache
Arvada,Colorado,Jefferson
Clovis,California,Fresno
Independence,Missouri,Jackson
Redding,California,Shasta
Greenville,North Carolina,Pitt
Duluth,Minnesota,St. Louis
Berkeley,California,Alameda
Boulder,Colorado,Boulder
Pueblo,Colorado,Pueblo
West Palm Beach,Florida,Palm Beach
Burlington,Vermont,Chittenden
Seaside,California,Monterey
Richardson,Texas,Dallas
Cambridge,Massachusetts,Middlesex
Monroe,Louisiana,Ouachita
North Charleston,South Carolina,Charleston
Saginaw,Michigan,Saginaw
Clearwater,Florida,Pinellas
The Woodlands,Texas,Montgomery
Brandon,Florida,Hillsborough
St. Cloud,Minnesota,Stearns
West Jordan,Utah,Salt Lake
Broken Arrow,Oklahoma,Tulsa
Harlingen,Texas,Cameron
Kailua,Hawaii,Honolulu
Westminster,Colorado,Adams
Gilroy,California,Santa Clara
Richmond,California,Contra Costa
Mandeville,Louisiana,St. Tammany
Utica,New York,Oneida
Ponce,Puerto Rico,Ponce
League City,Texas,Galveston
Port Arthur,Texas,Jefferson
Lowell,Massachusetts,Middlesex
East Los Angeles,California,Los Angeles
Carlsbad,California,San Diego
Elgin,Illinois,Kane
Waterloo,Iowa,Black Hawk
Leominster,Massachusetts,Worcester
Bend,Oregon,Deschutes
Sioux City,Iowa,Woodbury
Gresham,Oregon,Multnomah
Longview,Texas,Gregg
Pompano Beach,Florida,Broward
Downey,California,Los Angeles
Murrieta,California,Riverside
Idaho Falls,Idaho,Bonneville
Miami Gardens,Florida,Miami-Dade
Everett,Washington,Snohomish
Holland,Michigan,Ottawa
Costa Mesa,California,Orange
Temecula,California,Riverside
Jacksonville,North Carolina,Onslow
San Buenaventura,California,Ventura
Sugar Land,Texas,Fort Bend
Chico,California,Butte
South Fulton,Georgia,Fulton
Sparks,Nevada,Washoe
Eau Claire,Wisconsin,Eau Claire
Auburn,Alabama,Lee
Dearborn,Michigan,Wayne
Riverview,Florida,Hillsborough
Allen,Texas,Collin
West Covina,California,Los Angeles
Centennial,Colorado,Arapahoe
Bloomington,Indiana,Monroe
Sandy Springs,Georgia,Fulton
El Monte,California,Los Angeles
Hillsboro,Oregon,Washington
Menifee,California,Riverside
Rio Rancho,New Mexico,Sandoval
Davie,Florida,Broward
Jurupa Valley,California,Riverside
Columbia,Maryland,Howard
Inglewood,California,Los Angeles
Spokane Valley,Washington,Spokane
Renton,Washington,King
San Tan Valley,Arizona,Pinal
Burbank,California,Los Angeles
Brockton,Massachusetts,Plymouth
El Cajon,California,San Diego
Rialto,California,San Bernardino
San Mateo,California,San Mateo
Goodyear,Arizona,Maricopa
Charlottesville,Virginia,Charlottesville
Lafayette,Colorado,Boulder
Lee's Summit,Missouri,Jackson
Edinburg,Texas,Hidalgo
Daly City,California,San Mateo
Wichita Falls,Texas,Wichita
Bowling Green,Kentucky,Warren
Longmont,Colorado,Boulder
Vacaville,California,Solano
Highlands Ranch,Colorado,Douglas
Quincy,Massachusetts,Norfolk
Fishers,Indiana,Hamilton
Lynn,Massachusetts,Essex
Norwalk,California,Los Angeles
Carmel,Indiana,Hamilton
Hesperia,California,San Bernardino
St. Augustine,Florida,St. Johns
Buckeye,Arizona,Maricopa
San Angelo,Texas,Tom Green
Federal Way,Washington,King
Bismarck,North Dakota,Burleigh
Boca Raton,Florida,Palm Beach
New Braunfels,Texas,Comal
Vista,California,San Diego
Beaverton,Oregon,Washington
Portsmouth,Virginia,Portsmouth
Orem,Utah,Utah
Conroe,Texas,Montgomery
Suffolk,Virginia,Suffolk
Sunrise,Florida,Broward
Lawrence,Kansas,Douglas
Arden-Arcade,California,Sacramento
Prescott Valley,Arizona,Yavapai
Middletown,Ohio,Butler
San Germán,Puerto Rico,San Germán
Edmond,Oklahoma,Oklahoma
Tracy,California,San Joaquin
Manteca,California,San Joaquin
Kingsport,Tennessee,Sullivan
Portsmouth,New Hampshire,Rockingham
Sandy,Utah,Salt Lake
Palm Coast,Florida,Flagler
Slidell,Louisiana,St. Tammany
San Marcos,California,San Diego
Livonia,Michigan,Wayne
Santa Fe,New Mexico,Santa Fe
Plantation,Florida,Broward
Atascocita,Texas,Harris
Fall River,Massachusetts,Bristol
Compton,California,Los Angeles
Carson,California,Los Angeles
La Crosse,Wisconsin,La Crosse
Missoula,Montana,Missoula
O'Fallon,Missouri,St. Charles
Mount Pleasant,South Carolina,Charleston
Roswell,Georgia,Fulton
Hoover,Alabama,Jefferson
Florence,South Carolina,Florence
Williamsburg,Virginia,Williamsburg
South Gate,California,Los Angeles
Chino,California,San Bernardino
Fort Myers,Florida,Lee
Kirkland,Washington,King
Santa Monica,California,Los Angeles
Vineland,New Jersey,Cumberland
Norwalk,Connecticut,Western Connecticut
Alafaya,Florida,Orange
Lawton,Oklahoma,Comanche
Avondale,Arizona,Maricopa
Germantown,Maryland,Montgomery
Rapid City,South Dakota,Pennington
Westminster,California,Orange
Clifton,New Jersey,Passaic
Waukegan,Illinois,Lake
Bloomington,Minnesota,Hennepin
Mayagüez,Puerto Rico,Mayagüez
San Leandro,California,Alameda
Newton,Massachusetts,Middlesex
Joplin,Missouri,Jasper
Lawrence,Massachusetts,Essex
Springdale,Arkansas,Washington
Troy,Michigan,Oakland
Citrus Heights,California,Sacramento
Deerfield Beach,Florida,Broward
Town 'n' Country,Florida,Hillsborough
Winchester,Virginia,Winchester
Mission,Texas,Hidalgo
Bryan,Texas,Brazos
Hawthorne,California,Los Angeles
Whittier,California,Los Angeles
Livermore,California,Alameda
Lake Forest,California,Orange
San Ramon,California,Contra Costa
Melbourne,Florida,Brevard
Franklin,Tennessee,Williamson
Auburn,Washington,King
Port Huron,Michigan,St. Clair
Decatur,Illinois,Macon
Baytown,Texas,Harris
Brooklyn Park,Minnesota,Hennepin
Springfield,Ohio,Clark
Newport Beach,California,Orange
Westland,Michigan,Wayne
Newark,Ohio,Licking
Muncie,Indiana,Delaware
Farmington Hills,Michigan,Oakland
Cicero,Illinois,Cook
Buena Park,California,Orange
Warwick,Rhode Island,Kent
Hattiesburg,Mississippi,Forrest
Cranston,Rhode Island,Providence
Albany,Georgia,Dougherty
Layton,Utah,Davis
Madera,California,Madera
Largo,Florida,Pinellas
Redwood City,California,San Mateo
Mountain View,California,Santa Clara
Pine Hills,Florida,Orange
Folsom,California,Sacramento
Silver Spring,Maryland,Montgomery
Johns Creek,Georgia,Fulton
The Villages,Florida,Sumter
Owensboro,Kentucky,Daviess
Napa,California,Napa
New Rochelle,New York,Westchester
Alhambra,California,Los Angeles
Cheyenne,Wyoming,Laramie
Miami Beach,Florida,Miami-Dade
Wenatchee,Washington,Chelan
Jackson,Michigan,Jackson
Lehi,Utah,Utah
Anderson,Indiana,Madison
Homestead,Florida,Miami-Dade
Florence,Alabama,Lauderdale
Rancho Cordova,California,Sacramento
Morgantown,West Virginia,Monongalia
Boynton Beach,Florida,Palm Beach
Somerville,Massachusetts,Middlesex
North Port,Florida,Sarasota
Lakewood,California,Los Angeles
Salisbury,Maryland,Wicomico
South Jordan,Utah,Salt Lake
Parma,Ohio,Cuyahoga
Pharr,Texas,Hidalgo
State College,Pennsylvania,Centre
Plymouth,Minnesota,Hennepin
Turlock,California,Stanislaus
Davis,California,Yolo
Perris,California,Riverside
Jonesboro,Arkansas,Craighead
Tustin,California,Orange
Terre Haute,Indiana,Vigo
Upland,California,San Bernardino
Georgetown,Texas,Williamson
Texarkana,Texas,Bowie
Kendall,Florida,Miami-Dade
Pasco,Washington,Franklin
Milpitas,California,Santa Clara
Carmichael,California,Sacramento
Chino Hills,California,San Bernardino
Flower Mound,Texas,Denton
Flagstaff,Arizona,Coconino
Alton,Illinois,Madison
Pleasanton,California,Alameda
Cedar Park,Texas,Williamson
Bellflower,California,Los Angeles
Loveland,Colorado,Larimer
Mansfield,Ohio,Richland
Hammond,Indiana,Lake
Bethlehem,Pennsylvania,Northampton
Woodbury,Minnesota,Washington
Alameda,California,Alameda
Wyoming,Michigan,Kent
Schaumburg,Illinois,Cook
Castle Rock,Colorado,Douglas
Evanston,Illinois,Cook
Doral,Florida,Miami-Dade
St. Joseph,Missouri,Buchanan
Valdosta,Georgia,Lowndes
Wausau,Wisconsin,Marathon
Pocatello,Idaho,Bannock
Elizabethtown,Kentucky,Hardin
Anniston,Alabama,Calhoun
Arlington Heights,Illinois,Cook
Rochester Hills,Michigan,Oakland
Southfield,Michigan,Oakland
Daytona Beach,Florida,Volusia
Pittsburg,California,Contra Costa
Oshkosh,Wisconsin,Winnebago
Redmond,Washington,King
Saratoga Springs,New York,Saratoga
Apple Valley,California,San Bernardino
Mansfield,Texas,Tarrant
Pawtucket,Rhode Island,Providence
Missouri City,Texas,Fort Bend
Broomfield,Colorado,Broomfield
Janesville,Wisconsin,Rock
San Marcos,Texas,Hays
Camarillo,California,Ventura
Jackson,Tennessee,Madison
Dothan,Alabama,Houston
Sherman,Texas,Grayson
Lauderhill,Florida,Broward
Harrisonburg,Virginia,Harrisonburg
Bolingbrook,Illinois,Will
Ellicott City,Maryland,Howard
Alexandria,Louisiana,Rapides
Battle Creek,Michigan,Calhoun
New Britain,Connecticut,Capitol
Sheboygan,Wisconsin,Sheboygan
Brunswick,Georgia,Glynn
Altoona,Pennsylvania,Blair
Lodi,California,San Joaquin
Redlands,California,San Bernardino
Caguas,Puerto Rico,Caguas
Dale City,Virginia,Prince William
Glen Burnie,Maryland,Anne Arundel
Mount Vernon,New York,Westchester
Lakeville,Minnesota,Dakota
Dover,New Hampshire,Strafford
Lebanon,Pennsylvania,Lebanon
Rocklin,California,Placer
Framingham,Massachusetts,Middlesex
Wesley Chapel,Florida,Pasco
Noblesville,Indiana,Hamilton
Tamarac,Florida,Broward
Centreville,Virginia,Fairfax
Poinciana,Florida,Polk
Fairbanks,Alaska,Fairbanks North Star
Lake Elsinore,California,Riverside
Camden,New Jersey,Camden
Rogers,Arkansas,Benton
Blaine,Minnesota,Anoka
Wilmington,Delaware,New Castle
St. Charles,Missouri,St. Charles
Blacksburg,Virginia,Montgomery
Waukesha,Wisconsin,Waukesha
Casas Adobes,Arizona,Pima
Baldwin Park,California,Los Angeles
Cleveland,Tennessee,Bradley
Dublin,California,Alameda
Ankeny,Iowa,Polk
Maple Grove,Minnesota,Hennepin
Bayonne,New Jersey,Hudson
North Richland Hills,Texas,Tarrant
Eastvale,California,Riverside
Guaynabo,Puerto Rico,Guaynabo
Glens Falls,New York,Warren
Longview,Washington,Cowlitz
Tulare,California,Tulare
Conway,Arkansas,Faulkner
West Des Moines,Iowa,Polk
Redondo Beach,California,Los Angeles
Walnut Creek,California,Contra Costa
Passaic,New Jersey,Passaic
Porterville,California,Tulare
Maricopa,Arizona,Pinal
Fajardo,Puerto Rico,Fajardo
Spring Hill,Tennessee,Maury
Gaithersburg,Maryland,Montgomery
El Paso de Robles,California,San Luis Obispo
East Orange,New Jersey,Essex
Sumter,South Carolina,Sumter
Grand Forks,North Dakota,Grand Forks
Bristol,Tennessee,Sullivan
Michigan City,Indiana,LaPorte
Gary,Indiana,Lake
Dubuque,Iowa,Dubuque
Schenectady,New York,Schenectady
Casper,Wyoming,Natrona
Hanford,California,Kings
Shawnee,Kansas,Johnson
South Hill,Washington,Pierce
Eagan,Minnesota,Dakota
Union City,California,Alameda
Weston,Florida,Broward
Kankakee,Illinois,Kankakee
Leander,Texas,Williamson
Hammond,Louisiana,Tangipahoa
Corvallis,Oregon,Benton
Apex,North Carolina,Wake
Yorba Linda,California,Orange
Bethesda,Maryland,Montgomery
Haverhill,Massachusetts,Essex
Palo Alto,California,Santa Clara
Rockville,Maryland,Montgomery
Spring,Texas,Harris
Delray Beach,Florida,Palm Beach
Watsonville,California,Santa Cruz
Mount Vernon,Washington,Skagit
Palatine,Illinois,Cook
Victoria,Texas,Victoria
Skokie,Illinois,Cook
Morristown,Tennessee,Hamblen
Sammamish,Washington,King
Union City,New Jersey,Hudson
Queen Creek,Arizona,Maricopa
Alpharetta,Georgia,Fulton
Lima,Ohio,Allen
Novi,Michigan,Oakland
Great Falls,Montana,Cascade
Ames,Iowa,Story
Juana Díaz,Puerto Rico,Juana Díaz
Malden,Massachusetts,Middlesex
Dundalk,Maryland,Baltimore
Albany,Oregon,Linn
Castro Valley,California,Alameda
Dalton,Georgia,Whitfield
Lynwood,California,Los Angeles
Pflugerville,Texas,Travis
Sebring,Florida,Highlands
Kenner,Louisiana,Jefferson
Port Charlotte,Florida,Charlotte
Waltham,Massachusetts,Middlesex
Commerce City,Colorado,Adams
Brentwood,California,Contra Costa
North Little Rock,Arkansas,Pulaski
South San Francisco,California,San Mateo
Bellevue,Nebraska,Sarpy
Burnsville,Minnesota,Dakota
Greenwood,Indiana,Johnson
Rowlett,Texas,Dallas
Laguna Niguel,California,Orange
Bozeman,Montana,Gallatin
Port Orange,Florida,Volusia
Reston,Virginia,Fairfax
San Clemente,California,Orange
Caldwell,Idaho,Canyon
Coon Rapids,Minnesota,Anoka
Millcreek,Utah,Salt Lake
Eden Prairie,Minnesota,Hennepin
Parkersburg,West Virginia,Wood
Hamilton,Ohio,Butler
Moore,Oklahoma,Cleveland
Lakewood,Washington,Pierce
Bay City,Michigan,Bay
Bossier City,Louisiana,Bossier
Council Bluffs,Iowa,Pottawattamie
Huntersville,North Carolina,Mecklenburg
Taylor,Michigan,Wayne
Hendersonville,Tennessee,Sumner
Sanford,Florida,Seminole
La Habra,California,Orange
Horizon West,Florida,Orange
Dearborn Heights,Michigan,Wayne
St. Cloud,Florida,Osceola
Pontiac,Michigan,Oakland
Richland,Washington,Benton
Marietta,Georgia,Cobb
Florence-Graham,California,Los Angeles
Springfield,Oregon,Lane
Encinitas,California,San Diego
Wellington,Florida,Palm Beach
Palm Harbor,Florida,Pinellas
Montebello,California,Los Angeles
Woodland,California,Yolo
Bristol,Connecticut,Naugatuck Valley
Jupiter,Florida,Palm Beach
La Mesa,California,San Diego
Pico Rivera,California,Los Angeles
San Rafael,California,Marin
Meriden,Connecticut,South Central Connecticut
Euless,Texas,Tarrant
Parker,Colorado,Douglas
Revere,Massachusetts,Suffolk
Stonecrest,Georgia,DeKalb
Chapel Hill,North Carolina,Orange
White Plains,New York,Westchester
Gardena,California,Los Angeles
Palm Beach Gardens,Florida,Palm Beach
Taunton,Massachusetts,Bristol
Monterey Park,California,Los Angeles
West Allis,Wisconsin,Milwaukee
Santee,California,San Diego
North Miami,Florida,Miami-Dade
Blue Springs,Missouri,Jackson
Des Plaines,Illinois,Cook
Kokomo,Indiana,Howard
Petaluma,California,Sonoma
Shoreline,Washington,King
Medford,Massachusetts,Middlesex
Taylorsville,Utah,Salt Lake
Wylie,Texas,Collin
Cupertino,California,Santa Clara
The Hammocks,Florida,Miami-Dade
Margate,Florida,Broward
Carson City,Nevada,Carson City
Hoboken,New Jersey,Hudson
Madison,Alabama,Madison
St. Clair Shores,Michigan,Macomb
St. Peters,Missouri,St. Charles
Midwest City,Oklahoma,Oklahoma
Severn,Maryland,Anne Arundel
Lake Havasu City,Arizona,Mohave
Lenexa,Kansas,Johnson
Orland Park,Illinois,Cook
Royal Oak,Michigan,Oakland
Bowie,Maryland,Prince George's
Decatur,Alabama,Morgan
Bel Air South,Maryland,Harford
Towson,Maryland,Baltimore
Casa Grande,Arizona,Pinal
Coconut Creek,Florida,Broward
Kettering,Ohio,Montgomery
Herriman,Utah,Salt Lake
Brookhaven,Georgia,DeKalb
Oak Lawn,Illinois,Cook
Lacey,Washington,Thurston
Bartlett,Tennessee,Shelby
Highland,California,San Bernardino
Kannapolis,North Carolina,Cabarrus
Fountainebleau,Florida,Miami-Dade
Fountain Valley,California,Orange
Bentonville,Arkansas,Benton
Bradenton,Florida,Manatee
Smyrna,Georgia,Cobb
Sarasota,Florida,Sarasota
Apopka,Florida,Orange
National City,California,San Diego
DeSoto,Texas,Dallas
Berwyn,Illinois,Cook
New Brunswick,New Jersey,Middlesex
Apple Valley,Minnesota,Dakota
Mount Prospect,Illinois,Cook
Arcadia,California,Los Angeles
Southaven,Mississippi,DeSoto
Tigard,Oregon,Washington
Perth Amboy,New Jersey,Middlesex
Chicopee,Massachusetts,Hampden
South Whittier,California,Los Angeles
West Haven,Connecticut,South Central Connecticut
Smyrna,Tennessee,Rutherford
Tinley Park,Illinois,Cook
Hacienda Heights,California,Los Angeles
Beaumont,California,Riverside
San Jacinto,California,Riverside
Plainfield,New Jersey,Union
West Sacramento,California,Yolo
